일자,FG(BBL),STEAM(ESSTON),ELEC(KWH),EHC,FO,H/S,L/S,Mild,CDU,RFCC,RDS,UC,Rain,ATM Temp.
2025-07-01,92882,494,5878313,0.16959421212911227,0.0009308304600805523,0.4922372805357335,0.0005539347037436727,0.33668374217133,747535,171792,235527.96399999998,49261.656,0.0,33.2734
2025-07-02,91591,477,5880482,0.19808557269109425,0.0009254055052218297,0.4753127742118589,0.0010211895517244086,0.32465505804010064,739056,172167,224546.04799999998,49437.566,0.0,32.9958
2025-07-03,90159,690,5855945,0.20438745428976487,0.0009322688841390482,0.4752534411910193,0.001282471260100234,0.31814436437497645,741003,172210,217975.726,49570.082,0.0,33.9885
2025-07-04,90238,454,5826871,0.2055015305415872,0.00035863208120750546,0.45298876532278254,0.0011800892366315493,0.33997098281779115,736851,172638,216246.10799999998,49413.338,0.0,32.4622
2025-07-05,91852,403,5848179,0.21349681632510123,0.0,0.3593547957617097,0.001852245263087642,0.42529614265010135,740293,173519,216355.816,49471.167,0.0,33.2391
2025-07-06,91458,492,5875225,0.19953732260330242,0.0,0.3195559153658729,0.023513837116831655,0.4573929249139931,738429,173459,216157.48700000002,49870.157,0.0,33.7199
2025-07-07,90919,898,5875639,0.21978283835057047,0.0,0.2767663840496546,0.036661237070945984,0.4667895405288289,736727,172787,216561.604,49611.735,0.0,33.1776
2025-07-08,91341,269,5853283,0.26165398416161967,0.0,0.22304341279015139,0.03827678548740164,0.4770258175608271,741887,174148,216869.11200000002,49673.735,0.0,30.0898
2025-07-09,91584,-142,5856881,0.28188641315804935,0.0,0.21088890252490633,0.038144290664992815,0.46908039365205134,742442,175078,216387.528,49758.994000000006,0.0,29.4145
2025-07-10,92130,50,5872675,0.3104883141982332,0.0,0.17070053920886605,0.03758093384728312,0.4812302127456177,741414,175497,216041.79700000002,49944.479,0.0,28.9386
2025-07-11,91497,280,5880791,0.3116894006961491,0.0,0.15502682778597757,0.013921339889658001,0.5193624316282154,739819,174953,216062.076,49866.936,0.0,27.8987
2025-07-12,92261,85,5847816,0.3620572003714967,0.0005132125531902934,0.15692332603206188,0.0,0.4805062610432511,740236,175422,215275.777,49742.855,0.0,27.6246
2025-07-13,92649,334,5842906,0.3805191595465746,0.00795311381944147,0.17472085876239973,0.0,0.4368068678715843,739397,174989,214928.07400000002,49510.856999999996,0.1367,27.8671
2025-07-14,94205,427,5874305,0.3832944527764546,0.008048969447755893,0.1667796286387106,0.0,0.44187694913707887,734295,174476,214827.06200000003,49584.21,0.1161,25.1079
