horizon,energy,feature,group,unit,shap_raw,shap_mj,shap_mwon
D-1,FG,CDU,원유처리량,BBL,-157.7,-0.9983,-17.8461
D-1,FG,FO,원유조성,BBL,0.0,0.0,0.0
D-1,FG,EHC,원유조성,BBL,-138.35,-0.8758,-15.6561
D-1,FG,H/S,원유조성,BBL,87.94,0.5567,9.9514
D-1,FG,Mild,원유조성,BBL,-391.33,-2.4773,-44.2855
D-1,FG,L/S,원유조성,BBL,98.18,0.6215,11.1109
D-1,FG,RFCC_ratio,2차공정 처리비율,BBL,165.18,1.0456,18.6922
D-1,FG,RDS_ratio,2차공정 처리비율,BBL,-40.29,-0.255,-4.5593
D-1,FG,UC_ratio,2차공정 처리비율,BBL,256.52,1.6239,29.0292
D-1,FG,CDU_ma7,원유처리량,BBL,-54.96,-0.3479,-6.2194
D-1,FG,CDU_diff,원유처리량,BBL,-43.01,-0.2723,-4.8673
D-1,FG,ATM_Temp,환경/계절,BBL,-76.03,-0.4813,-8.6041
D-1,FG,heavy_ratio,원유조성,BBL,-775.75,-4.9109,-87.7889
D-1,FG,light_ratio,원유조성,BBL,-48.52,-0.3072,-5.4908
D-1,Steam,CDU,원유처리량,ESSTON,24.47,0.0758,0.7413
D-1,Steam,FO,원유조성,ESSTON,-0.18,-0.0006,-0.0054
D-1,Steam,EHC,원유조성,ESSTON,-0.37,-0.0012,-0.0113
D-1,Steam,H/S,원유조성,ESSTON,27.42,0.085,0.8306
D-1,Steam,Mild,원유조성,ESSTON,-18.27,-0.0566,-0.5533
D-1,Steam,L/S,원유조성,ESSTON,0.06,0.0002,0.0018
D-1,Steam,RFCC_ratio,2차공정 처리비율,ESSTON,-17.77,-0.0551,-0.5381
D-1,Steam,RDS_ratio,2차공정 처리비율,ESSTON,-3.2,-0.0099,-0.0971
D-1,Steam,UC_ratio,2차공정 처리비율,ESSTON,11.12,0.0345,0.3367
D-1,Steam,CDU_ma7,원유처리량,ESSTON,-5.56,-0.0172,-0.1683
D-1,Steam,CDU_diff,원유처리량,ESSTON,-14.39,-0.0446,-0.4359
D-1,Steam,ATM_Temp,환경/계절,ESSTON,9.65,0.0299,0.2923
D-1,Steam,heavy_ratio,원유조성,ESSTON,98.23,0.3044,2.9753
D-1,Steam,light_ratio,원유조성,ESSTON,87.86,0.2723,2.6612
D-1,Steam,is_rain,강우,ESSTON,-0.75,-0.0023,-0.0226
D-1,Steam,rain_intensity,강우,ESSTON,-22.53,-0.0698,-0.6823
D-1,Steam,Rain_lag1,강우,ESSTON,4.32,0.0134,0.1309
D-1,Steam,Rain_cumsum3,강우,ESSTON,-0.14,-0.0004,-0.0043
D-1,Steam,days_since_rain,강우,ESSTON,-0.81,-0.0025,-0.0244
D-1,Steam,Rain_x_cold,강우,ESSTON,-0.88,-0.0027,-0.0267
D-1,Steam,season_sin,환경/계절,ESSTON,28.69,0.0889,0.8691
D-1,Steam,season_cos,환경/계절,ESSTON,74.24,0.23,2.2486
D-1,Steam,HDD,환경/계절,ESSTON,-2.44,-0.0076,-0.0738
D-1,Steam,ATM_Temp_ma7,환경/계절,ESSTON,-9.46,-0.0293,-0.2865
D-1,ELEC,CDU,원유처리량,KWH,-154.78,-0.0015,-0.0274
D-1,ELEC,FO,원유조성,KWH,-0.04,-0.0,-0.0
D-1,ELEC,EHC,원유조성,KWH,-3.24,-0.0,-0.0006
D-1,ELEC,H/S,원유조성,KWH,2135.84,0.0204,0.378
D-1,ELEC,Mild,원유조성,KWH,-1290.44,-0.0123,-0.2284
D-1,ELEC,L/S,원유조성,KWH,1274.14,0.0122,0.2255
D-1,ELEC,RFCC_ratio,2차공정 처리비율,KWH,2681.68,0.0256,0.4747
D-1,ELEC,RDS_ratio,2차공정 처리비율,KWH,-7.6,-1e-04,-0.0013
D-1,ELEC,UC_ratio,2차공정 처리비율,KWH,7321.39,0.0699,1.2959
D-1,ELEC,CDU_ma7,원유처리량,KWH,-56.12,-0.0005,-0.0099
D-1,ELEC,CDU_diff,원유처리량,KWH,-40.79,-0.0004,-0.0072
D-1,ELEC,ATM_Temp,환경/계절,KWH,-99.62,-0.001,-0.0176
D-1,ELEC,heavy_ratio,원유조성,KWH,-608.08,-0.0058,-0.1076
D-1,ELEC,light_ratio,원유조성,KWH,2738.18,0.0261,0.4847
D-1,ELEC,season_sin,환경/계절,KWH,-722.41,-0.0069,-0.1279
D-1,ELEC,season_cos,환경/계절,KWH,-1435.37,-0.0137,-0.2541
D-1,ELEC,HDD,환경/계절,KWH,-3.01,-0.0,-0.0005
D-1,ELEC,ATM_Temp_ma7,환경/계절,KWH,-41.98,-0.0004,-0.0074
W-1,FG,CDU,원유처리량,BBL,-669.57,-4.2387,-75.7727
W-1,FG,FO,원유조성,BBL,0.0,0.0,0.0
W-1,FG,EHC,원유조성,BBL,213.5,1.3515,24.1607
W-1,FG,H/S,원유조성,BBL,278.12,1.7606,31.4736
W-1,FG,Mild,원유조성,BBL,-1505.51,-9.5305,-170.3725
W-1,FG,L/S,원유조성,BBL,775.1,4.9067,87.7148
W-1,FG,RFCC_ratio,2차공정 처리비율,BBL,1462.74,9.2598,165.5322
W-1,FG,RDS_ratio,2차공정 처리비율,BBL,-163.79,-1.0369,-18.5356
W-1,FG,UC_ratio,2차공정 처리비율,BBL,2888.63,18.2863,326.8948
W-1,FG,CDU_ma7,원유처리량,BBL,-216.7,-1.3718,-24.5226
W-1,FG,CDU_diff,원유처리량,BBL,-68.27,-0.4322,-7.7264
W-1,FG,ATM_Temp,환경/계절,BBL,-225.5,-1.4275,-25.519
W-1,FG,heavy_ratio,원유조성,BBL,-2958.93,-18.7313,-334.8498
W-1,FG,light_ratio,원유조성,BBL,-77.69,-0.4918,-8.7917
W-1,Steam,CDU,원유처리량,ESSTON,87.17,0.2701,2.6403
W-1,Steam,FO,원유조성,ESSTON,-1.33,-0.0041,-0.0402
W-1,Steam,EHC,원유조성,ESSTON,-7.15,-0.0222,-0.2166
W-1,Steam,H/S,원유조성,ESSTON,34.26,0.1062,1.0378
W-1,Steam,Mild,원유조성,ESSTON,-113.8,-0.3526,-3.4469
W-1,Steam,L/S,원유조성,ESSTON,20.87,0.0647,0.6322
W-1,Steam,RFCC_ratio,2차공정 처리비율,ESSTON,-250.34,-0.7758,-7.5829
W-1,Steam,RDS_ratio,2차공정 처리비율,ESSTON,-34.51,-0.1069,-1.0453
W-1,Steam,UC_ratio,2차공정 처리비율,ESSTON,18.16,0.0563,0.5501
W-1,Steam,CDU_ma7,원유처리량,ESSTON,-79.18,-0.2454,-2.3983
W-1,Steam,CDU_diff,원유처리량,ESSTON,-104.92,-0.3251,-3.1781
W-1,Steam,ATM_Temp,환경/계절,ESSTON,36.35,0.1127,1.1011
