date,fg_bbl,stm_esston,elec_kwh,cdu_bbl,atm_temp,rain_mm,fg_mj,stm_mj,elec_mj,total_mj,sec_mj_per_bbl,fg_cost_mwon,stm_cost_mwon,elec_cost_mwon,total_cost_mwon,unit_cost_won_per_bbl,cqi_avg,cqi_level
2025-07-02,91591,477,5880482,739056,32.9958,0.0,579.8113300399999,1.47813714,56.1586031,637.4480702799999,862.516602639042,10364.987106,14.448311641674197,1040.845314,11420.280731641675,15452.524208776702,0.43426342092758424,High
2025-07-03,90159,690,5855945,741003,33.9885,0.0,570.7461399599999,2.1381858000000005,55.92427475000001,628.8086005099999,848.5911669858285,10202.933394,20.90007344393123,1036.502265,11260.335732443931,15196.073069129183,0.8516264857552233,Medium
2025-07-04,90238,454,5826871,736851,32.4622,0.0,571.2462447199999,1.40686428,55.64661805000001,628.29972705,852.6821936185198,10211.873508,13.751642526876491,1031.356167,11256.981317526877,15277.147371078925,0.6839816317166528,Medium
2025-07-05,91852,403,5848179,740293,33.2391,0.0,581.46357488,1.24882446,55.850109450000005,638.56250879,862.5807738152328,10394.523432,12.206854489716354,1035.127683,11441.857969489716,15455.850547674658,0.516445872855383,Medium
2025-07-06,91458,492,5875225,738429,33.7199,0.0,578.96938152,1.5246194400000002,56.108398750000006,636.60239971,862.1037360531616,10349.936028,14.902661064368354,1039.914825,11404.753514064369,15444.617578757565,0.2973772671828277,High
2025-07-07,90919,898,5875639,736727,33.1776,0.0,575.5572743600001,2.7827403600000005,56.11235245,634.4523671700001,861.1770264562043,10288.939554,27.20038543862354,1039.988103,11356.128042438624,15414.29599083327,0.4209272438969141,High
2025-07-08,91341,269,5853283,741887,30.0898,0.0,578.22872004,0.8335825800000001,55.89885265000001,634.96115527,855.8731387259785,10336.695606,8.147999646981885,1036.031091,11380.874696646983,15340.442273077952,0.8457232904568089,Medium
2025-07-09,91584,-142,5856881,742442,29.4145,0.0,579.7670169599999,-0.44003244,55.933213550000005,635.2601980699999,855.636127899553,10364.194944,-4.301174534838021,1036.667937,11396.561706465163,15350.103720513069,0.48550410737167127,High
2025-07-10,92130,50,5872675,741414,28.9386,0.0,583.2234371999999,0.154941,56.08404625000001,639.46242445,862.4903555233648,10425.98358,1.5144980756471904,1039.463475,11466.961553075647,15466.340739553943,0.24894718692876072,High
2025-07-11,91497,280,5880791,739819,27.8987,0.0,579.21626868,0.8676696,56.16155405000001,636.2454923299999,860.0015575836792,10354.349502,8.481189223624266,1040.900007,11403.730698223624,15414.217123679742,0.33967342163273134,High
2025-07-12,92261,85,5847816,740236,27.6246,0.0,584.0527248399999,0.2633997,55.846642800000005,640.16276734,864.809016773029,10440.808326,2.574646728600224,1035.063432,11478.446404728602,15506.46875419272,0.5349409093130182,Medium
2025-07-13,92649,334,5842906,739397,27.8671,0.1367,586.5089355599999,1.03500588,55.7997523,643.3436937399999,870.0923776266335,10484.716734,10.116847145323232,1034.194362,11529.027943145324,15592.473249344159,0.4551367305330844,High
